consumer_id	consumer	class	file	first_line	surface_id	surface	surface_group	matched_name	name_kind	sites
compiler	Compiler	test/dev	crates/vize_atelier_dom/benches/davinci.rs	27	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	manifest	crates/vize_atelier_dom/Cargo.toml	24	davinci	Davinci	stage	vize_davinci	preferred	1
compiler	Compiler	manifest	crates/vize_atelier_dom/Cargo.toml	24	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	manifest	crates/vize_atelier_dom/Cargo.toml	24	s1_to_s2	S1->S2	stage	vize_s1_to_s2	preferred	1
compiler	Compiler	manifest	crates/vize_atelier_dom/Cargo.toml	24	croquis	Croquis analysis	old	vize_croquis	legacy	1
compiler	Compiler	source	crates/vize_atelier_dom/src/compile.rs	12	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_dom/src/compile/croquis_facts.rs	23	s1_to_s2	S1->S2	stage	vize_s1_to_s2	preferred	1
compiler	Compiler	source	crates/vize_atelier_dom/src/compile/croquis_facts.rs	23	croquis	Croquis analysis	old	vize_croquis	legacy	4
compiler	Compiler	test/dev	crates/vize_atelier_dom/src/compile/croquis_facts.rs	97	s1_to_s2	S1->S2	stage	vize_s1_to_s2	preferred	1
compiler	Compiler	test/dev	crates/vize_atelier_dom/src/compile/croquis_facts.rs	97	croquis	Croquis analysis	old	vize_croquis	legacy	2
compiler	Compiler	source	crates/vize_atelier_dom/src/compile/custom_elements.rs	14	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_dom/src/compile/inner.rs	11	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_dom/src/compile/inner.rs	11	croquis	Croquis analysis	old	vize_croquis	legacy	1
compiler	Compiler	source	crates/vize_atelier_dom/src/compile/legacy.rs	11	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_dom/src/compile/selection.rs	12	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_dom/src/compile/sfc.rs	14	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_dom/src/compile/source_map.rs	13	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_dom/src/compile/stage_options.rs	12	s0	S0	stage	vize_s0	preferred	6
compiler	Compiler	source	crates/vize_atelier_dom/src/compile/stage_options.rs	12	s1_to_s2	S1->S2	stage	vize_s1_to_s2	preferred	3
compiler	Compiler	test/dev	crates/vize_atelier_dom/src/compile/stage_options/tests.rs	4	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	test/dev	crates/vize_atelier_dom/src/experimental_tests.rs	6	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_dom/src/namespace.rs	12	s0	S0	stage	vize_s0	preferred	4
compiler	Compiler	source	crates/vize_atelier_dom/src/options.rs	5	s0	S0	stage	vize_s0	preferred	2
compiler	Compiler	source	crates/vize_atelier_dom/src/options.rs	5	croquis	Croquis analysis	old	vize_croquis	legacy	1
compiler	Compiler	test/dev	crates/vize_atelier_dom/src/prefix_identifier_tests.rs	5	s0	S0	stage	vize_s0	preferred	2
compiler	Compiler	source	crates/vize_atelier_dom/src/steps/v_html.rs	6	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	test/dev	crates/vize_atelier_dom/src/steps/v_html.rs	33	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_dom/src/steps/v_model.rs	6	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	test/dev	crates/vize_atelier_dom/src/steps/v_model.rs	191	s0	S0	stage	vize_s0	preferred	2
compiler	Compiler	source	crates/vize_atelier_dom/src/steps/v_on.rs	6	s0	S0	stage	vize_s0	preferred	3
compiler	Compiler	test/dev	crates/vize_atelier_dom/src/steps/v_on.rs	223	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_dom/src/steps/v_show.rs	6	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	test/dev	crates/vize_atelier_dom/src/steps/v_show.rs	36	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_dom/src/steps/v_text.rs	6	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	test/dev	crates/vize_atelier_dom/src/steps/v_text.rs	40	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	test/dev	crates/vize_atelier_dom/src/tests.rs	8	s0	S0	stage	vize_s0	preferred	10
