consumer_id	consumer	class	file	first_line	surface_id	surface	surface_group	matched_name	name_kind	sites
compiler	Compiler	test/dev	crates/vize_atelier_ssr/benches/davinci.rs	22	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	manifest	crates/vize_atelier_ssr/Cargo.toml	13	davinci	Davinci	stage	vize_davinci	preferred	1
compiler	Compiler	manifest	crates/vize_atelier_ssr/Cargo.toml	13	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	manifest	crates/vize_atelier_ssr/Cargo.toml	13	s1	S1	stage	vize_s1	preferred	1
compiler	Compiler	manifest	crates/vize_atelier_ssr/Cargo.toml	13	s2	S2	stage	vize_s2	preferred	1
compiler	Compiler	manifest	crates/vize_atelier_ssr/Cargo.toml	13	s1_to_s2	S1->S2	stage	vize_s1_to_s2	preferred	1
compiler	Compiler	manifest	crates/vize_atelier_ssr/Cargo.toml	13	old_ast	old AST/parser	old	vize_relief	legacy	1
compiler	Compiler	manifest	crates/vize_atelier_ssr/Cargo.toml	13	old_ast	old AST/parser	old	vize_armature	legacy	2
compiler	Compiler	manifest	crates/vize_atelier_ssr/Cargo.toml	13	croquis	Croquis analysis	old	vize_croquis	legacy	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen.rs	17	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen/component_binding.rs	3	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen/component_resolution.rs	2	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen/element.rs	18	s0	S0	stage	vize_s0	preferred	2
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen/element/component_props.rs	226	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen/element/plain.rs	61	s0	S0	stage	vize_s0	preferred	4
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen/element/props.rs	4	s0	S0	stage	vize_s0	preferred	4
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen/helpers.rs	15	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen/helpers/destructure.rs	4	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	test/dev	crates/vize_atelier_ssr/src/codegen/helpers/destructure.rs	132	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen/helpers/escape.rs	3	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen/scope_prefix.rs	3	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/compile.rs	11	s0	S0	stage	vize_s0	preferred	5
compiler	Compiler	source	crates/vize_atelier_ssr/src/differential.rs	12	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	test/dev	crates/vize_atelier_ssr/src/experimental_tests.rs	6	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	test/dev	crates/vize_atelier_ssr/src/lib.rs	48	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/options.rs	5	s0	S0	stage	vize_s0	preferred	2
compiler	Compiler	source	crates/vize_atelier_ssr/src/options.rs	5	croquis	Croquis analysis	old	vize_croquis	legacy	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4.rs	14	s0	S0	stage	vize_s0	preferred	3
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4.rs	14	s1	S1	stage	vize_s1	preferred	2
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4.rs	14	s2	S2	stage	vize_s2	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4.rs	14	s1_to_s2	S1->S2	stage	vize_s1_to_s2	preferred	2
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/bindings.rs	4	s1_to_s2	S1->S2	stage	vize_s1_to_s2	preferred	1
compiler	Compiler	test/dev	crates/vize_atelier_ssr/src/s4/differential_tests.rs	16	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit.rs	27	davinci	Davinci	stage	vize_davinci	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit.rs	27	s0	S0	stage	vize_s0	preferred	7
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit.rs	27	s2	S2	stage	vize_s2	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit.rs	27	s1_to_s2	S1->S2	stage	vize_s1_to_s2	preferred	3
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/attrs.rs	5	s0	S0	stage	vize_s0	preferred	4
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/attrs.rs	5	s2	S2	stage	vize_s2	preferred	2
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/attrs.rs	5	s1_to_s2	S1->S2	stage	vize_s1_to_s2	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/component_props.rs	5	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/component_props.rs	5	s2	S2	stage	vize_s2	preferred	2
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/component_props.rs	5	s1_to_s2	S1->S2	stage	vize_s1_to_s2	preferred	2
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/component.rs	6	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/component.rs	6	s2	S2	stage	vize_s2	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/component.rs	6	s1_to_s2	S1->S2	stage	vize_s1_to_s2	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/control.rs	5	davinci	Davinci	stage	vize_davinci	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/control.rs	5	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/control.rs	5	s2	S2	stage	vize_s2	preferred	2
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/control.rs	5	s1_to_s2	S1->S2	stage	vize_s1_to_s2	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/create_slots.rs	11	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/create_slots.rs	11	s2	S2	stage	vize_s2	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/create_slots.rs	11	s1_to_s2	S1->S2	stage	vize_s1_to_s2	preferred	3
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/element.rs	6	s0	S0	stage	vize_s0	preferred	3
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/element.rs	6	s2	S2	stage	vize_s2	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/element.rs	6	s1_to_s2	S1->S2	stage	vize_s1_to_s2	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/fallthrough.rs	5	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/fallthrough.rs	5	s2	S2	stage	vize_s2	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/fallthrough.rs	5	s1_to_s2	S1->S2	stage	vize_s1_to_s2	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/model.rs	5	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/model.rs	5	s2	S2	stage	vize_s2	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/model.rs	5	s1_to_s2	S1->S2	stage	vize_s1_to_s2	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/region.rs	122	davinci	Davinci	stage	vize_davinci	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/region.rs	122	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/slot_outlet.rs	4	s0	S0	stage	vize_s0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/slot_outlet.rs	4	s2	S2	stage	vize_s2	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/slot_outlet.rs	4	s1_to_s2	S1->S2	stage	vize_s1_to_s2	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/slots.rs	5	s0	S0	stage	vize_s0	preferred	2
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/slots.rs	5	s2	S2	stage	vize_s2	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/text.rs	5	davinci	Davinci	stage	vize_davinci	preferred	2
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/text.rs	5	s0	S0	stage	vize_s0	preferred	2
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/text.rs	5	s2	S2	stage	vize_s2	preferred	2
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/text.rs	5	s1_to_s2	S1->S2	stage	vize_s1_to_s2	preferred	2
compiler	Compiler	source	crates/vize_atelier_ssr/src/s4/emit/vnode_control.rs	5	davinci	Davinci	stage	vize_davinci	preferred	1
