scope	category	file	alloc_vec_direct	alloc_vec_bound	s0_string_direct	s0_string_bound	arena_vec_direct	arena_vec_bound	small_vec_direct	small_vec_bound
infra	analysis	crates/vize_davinci/src/diagnostic.rs	1	2	1	5	0	0	0	0
infra	-	crates/vize_davinci/src/folio.rs	0	0	1	4	0	0	0	0
infra	contract	crates/vize_davinci/src/folio/croquis.rs	1	16	1	17	0	0	0	0
infra	contract	crates/vize_davinci/src/folio/croquis/parse.rs	1	3	1	4	0	0	0	0
infra	contract	crates/vize_davinci/src/folio/croquis/parse/entry.rs	1	4	1	15	0	0	0	0
infra	contract	crates/vize_davinci/src/folio/croquis/print.rs	1	2	1	0	0	0	0	0
infra	contract	crates/vize_davinci/src/folio/dump.rs	1	2	1	7	0	0	0	0
infra	contract	crates/vize_davinci/src/folio/feed.rs	1	2	1	10	0	0	0	0
infra	contract	crates/vize_davinci/src/folio/page.rs	1	2	1	2	0	0	0	0
infra	-	crates/vize_davinci/src/folio/repro.rs	0	0	1	15	0	0	0	0
infra	-	crates/vize_davinci/src/folio/value.rs	0	0	1	2	0	0	0	0
infra	analysis	crates/vize_davinci/src/pass/pipeline.rs	1	4	1	2	0	0	0	0
infra	analysis	crates/vize_davinci/src/side_table.rs	1	2	0	0	0	0	0	0
s2	analysis	crates/vize_disegno/src/expr/filter.rs	2	0	0	0	1	2	0	0
s2	-	crates/vize_disegno/src/expr/foreign.rs	0	0	0	0	1	1	0	0
s2	contract	crates/vize_disegno/src/folio.rs	1	1	0	0	0	0	0	0
s2	contract	crates/vize_disegno/src/folio/owned.rs	1	13	1	12	0	0	0	0
s2	contract	crates/vize_disegno/src/folio/owned/binding.rs	1	7	1	13	0	0	0	0
s2	-	crates/vize_disegno/src/folio/owned/expr.rs	0	0	1	10	0	0	0	0
s2	contract	crates/vize_disegno/src/folio/parse.rs	1	4	0	0	0	0	0	0
s2	contract	crates/vize_disegno/src/folio/parse/binding_line.rs	1	8	1	3	0	0	0	0
s2	-	crates/vize_disegno/src/folio/parse/expr_token.rs	0	0	1	1	0	0	0	0
s2	contract	crates/vize_disegno/src/folio/parse/line.rs	12	0	1	6	0	0	0	0
s2	-	crates/vize_disegno/src/folio/print/binding.rs	0	0	1	1	0	0	0	0
s2	-	crates/vize_disegno/src/op.rs	0	0	0	0	1	1	0	0
s2	-	crates/vize_disegno/src/op/bind.rs	0	0	0	0	1	2	0	0
s2	-	crates/vize_disegno/src/op/control.rs	0	0	0	0	1	1	0	0
s2	-	crates/vize_disegno/src/op/element.rs	0	0	0	0	1	4	0	0
s2	-	crates/vize_disegno/src/op/model.rs	0	0	0	0	1	1	0	0
s2	-	crates/vize_disegno/src/op/slot.rs	0	0	0	0	1	3	0	0
s2	-	crates/vize_disegno/src/op/vue.rs	0	0	0	0	1	2	0	0
s2	-	crates/vize_disegno/src/provenance.rs	0	0	1	3	0	0	0	0
s2	analysis	crates/vize_disegno/src/scope.rs	1	1	1	2	0	0	0	0
s2	analysis	crates/vize_disegno/src/verify.rs	1	4	1	1	0	0	0	0
s2	-	crates/vize_disegno/src/verify/observer.rs	0	0	1	1	0	0	0	0
s2	analysis	crates/vize_disegno/src/verify/walk.rs	1	5	0	0	0	0	0	0
s1_to_s2	emit	crates/vize_ricalco/src/emit.rs	1	2	1	4	0	0	0	0
s1_to_s2	emit	crates/vize_ricalco/src/emit/buf.rs	1	8	1	11	0	0	0	0
s1_to_s2	emit	crates/vize_ricalco/src/emit/component.rs	1	4	0	0	0	0	0	0
s1_to_s2	emit	crates/vize_ricalco/src/emit/create_slots.rs	1	5	1	5	0	0	0	0
s1_to_s2	emit	crates/vize_ricalco/src/emit/directive.rs	1	5	0	0	0	0	0	0
s1_to_s2	emit	crates/vize_ricalco/src/emit/hoist.rs	1	4	1	7	0	0	0	0
s1_to_s2	-	crates/vize_ricalco/src/emit/js.rs	0	0	1	10	0	0	0	0
s1_to_s2	emit	crates/vize_ricalco/src/emit/merge.rs	1	8	1	1	0	0	0	0
s1_to_s2	emit	crates/vize_ricalco/src/emit/model.rs	1	6	1	9	0	0	0	0
s1_to_s2	-	crates/vize_ricalco/src/emit/on.rs	0	0	1	5	0	0	1	3
s1_to_s2	emit	crates/vize_ricalco/src/emit/props.rs	1	2	1	2	0	0	0	0
s1_to_s2	-	crates/vize_ricalco/src/emit/props_bind.rs	0	0	1	2	0	0	0	0
s1_to_s2	emit	crates/vize_ricalco/src/emit/props_object.rs	1	5	1	3	0	0	0	0
s1_to_s2	emit	crates/vize_ricalco/src/emit/slots.rs	1	5	1	6	0	0	0	0
s1_to_s2	-	crates/vize_ricalco/src/emit/tpl.rs	0	0	1	3	0	0	0	0
s1_to_s2	-	crates/vize_ricalco/src/emit/vfor.rs	0	0	1	3	0	0	0	0
s1_to_s2	-	crates/vize_ricalco/src/emit/vif.rs	0	0	1	2	0	0	0	0
s1_to_s2	-	crates/vize_ricalco/src/emit/vnode.rs	0	0	1	1	0	0	0	0
s1_to_s2	lower	crates/vize_ricalco/src/lower.rs	1	2	1	1	0	0	0	0
s1_to_s2	lower	crates/vize_ricalco/src/lower/binding.rs	1	1	1	10	1	7	0	0
s1_to_s2	-	crates/vize_ricalco/src/lower/bindop.rs	0	0	1	2	1	6	0	0
s1_to_s2	-	crates/vize_ricalco/src/lower/css.rs	0	0	0	0	1	3	0	0
