consumer_id	consumer	class	file	first_line	surface_id	surface	surface_group	matched_name	name_kind	sites
compiler	Compiler	test/dev	crates/vize_atelier_ssr/benches/davinci.rs	23	l0	L0	stage	vize_l0	preferred	1
compiler	Compiler	manifest	crates/vize_atelier_ssr/Cargo.toml	13	davinci	Davinci	stage	vize_davinci	preferred	1
compiler	Compiler	manifest	crates/vize_atelier_ssr/Cargo.toml	13	l0	L0	stage	vize_l0	preferred	1
compiler	Compiler	manifest	crates/vize_atelier_ssr/Cargo.toml	13	l1	L1	stage	vize_l1	preferred	1
compiler	Compiler	manifest	crates/vize_atelier_ssr/Cargo.toml	13	l2	L2	stage	vize_l2	preferred	1
compiler	Compiler	manifest	crates/vize_atelier_ssr/Cargo.toml	13	l1_to_l2	L1->L2	stage	vize_l1_to_l2	preferred	1
compiler	Compiler	manifest	crates/vize_atelier_ssr/Cargo.toml	13	old_ast	old AST/parser	old	vize_relief	legacy	1
compiler	Compiler	manifest	crates/vize_atelier_ssr/Cargo.toml	13	old_ast	old AST/parser	old	vize_armature	legacy	2
compiler	Compiler	manifest	crates/vize_atelier_ssr/Cargo.toml	13	croquis	Croquis analysis	old	vize_croquis	legacy	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen.rs	18	l0	L0	stage	vize_l0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen/component_binding.rs	3	l0	L0	stage	vize_l0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen/component_resolution.rs	2	l0	L0	stage	vize_l0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen/element.rs	22	l0	L0	stage	vize_l0	preferred	2
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen/element/component_props.rs	227	l0	L0	stage	vize_l0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen/element/component.rs	530	l0	L0	stage	vize_l0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen/element/directive_props.rs	10	l0	L0	stage	vize_l0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen/element/merged.rs	23	l0	L0	stage	vize_l0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen/element/plain.rs	59	l0	L0	stage	vize_l0	preferred	5
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen/element/props.rs	4	l0	L0	stage	vize_l0	preferred	4
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen/element/spanned_props.rs	13	l0	L0	stage	vize_l0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen/helpers.rs	15	l0	L0	stage	vize_l0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen/helpers/destructure.rs	4	l0	L0	stage	vize_l0	preferred	1
compiler	Compiler	test/dev	crates/vize_atelier_ssr/src/codegen/helpers/destructure.rs	132	l0	L0	stage	vize_l0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen/helpers/escape.rs	3	l0	L0	stage	vize_l0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen/module_parts.rs	7	l0	L0	stage	vize_l0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen/scope_prefix.rs	3	l0	L0	stage	vize_l0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/codegen/spans.rs	12	l0	L0	stage	vize_l0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/compile.rs	11	l0	L0	stage	vize_l0	preferred	5
compiler	Compiler	source	crates/vize_atelier_ssr/src/differential.rs	12	l0	L0	stage	vize_l0	preferred	1
compiler	Compiler	test/dev	crates/vize_atelier_ssr/src/experimental_tests.rs	6	l0	L0	stage	vize_l0	preferred	1
compiler	Compiler	source	crates/vize_atelier_ssr/src/l4.rs	19	davinci	Davinci	stage	vize_davinci	preferred	2
compiler	Compiler	source	crates/vize_atelier_ssr/src/l4.rs	19	l0	L0	stage	vize_l0	preferred	3
compiler	Compiler	source	crates/vize_atelier_ssr/src/l4.rs	19	l1	L1	stage	vize_l1	preferred	2
compiler	Compiler	source	crates/vize_atelier_ssr/src/l4.rs	19	l2	L2	stage	vize_l2	preferred	2
compiler	Compiler	source	crates/vize_atelier_ssr/src/l4.rs	19	l1_to_l2	L1->L2	stage	vize_l1_to_l2	preferred	2
compiler	Compiler	source	crates/vize_atelier_ssr/src/l4/bindings.rs	4	l1_to_l2	L1->L2	stage	vize_l1_to_l2	preferred	1
