consumer_id	consumer	class	file	first_line	surface_id	surface	surface_group	matched_name	name_kind	sites
lsp	LSP	manifest	crates/vize_maestro/Cargo.toml	45	davinci	Davinci	stage	vize_davinci	preferred	1
lsp	LSP	manifest	crates/vize_maestro/Cargo.toml	45	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	manifest	crates/vize_maestro/Cargo.toml	45	old_ast	old AST/parser	old	vize_relief	legacy	1
lsp	LSP	manifest	crates/vize_maestro/Cargo.toml	45	old_ast	old AST/parser	old	vize_armature	legacy	1
lsp	LSP	manifest	crates/vize_maestro/Cargo.toml	45	croquis	Croquis analysis	old	vize_croquis	legacy	1
lsp	LSP	manifest	crates/vize_maestro/Cargo.toml	45	croquis	Croquis analysis	old	vize_croquis_cf	legacy	1
lsp	LSP	manifest	crates/vize_maestro/Cargo.toml	45	raw_oxc	raw OXC	raw	oxc_allocator	raw	1
lsp	LSP	manifest	crates/vize_maestro/Cargo.toml	45	raw_oxc	raw OXC	raw	oxc_ast	raw	1
lsp	LSP	manifest	crates/vize_maestro/Cargo.toml	45	raw_oxc	raw OXC	raw	oxc_ast_visit	raw	1
lsp	LSP	manifest	crates/vize_maestro/Cargo.toml	45	raw_oxc	raw OXC	raw	oxc_parser	raw	1
lsp	LSP	manifest	crates/vize_maestro/Cargo.toml	45	raw_oxc	raw OXC	raw	oxc_semantic	raw	1
lsp	LSP	manifest	crates/vize_maestro/Cargo.toml	45	raw_oxc	raw OXC	raw	oxc_syntax	raw	1
lsp	LSP	source	crates/vize_maestro/src/document/store.rs	83	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/document/text.rs	6	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	test/dev	crates/vize_maestro/src/document/text/tests.rs	4	s0	S0	stage	vize_s0	preferred	8
lsp	LSP	source	crates/vize_maestro/src/ide.rs	98	s0	S0	stage	vize_s0	preferred	2
lsp	LSP	source	crates/vize_maestro/src/ide/auto_insert.rs	77	s0	S0	stage	vize_s0	preferred	2
lsp	LSP	source	crates/vize_maestro/src/ide/call_hierarchy.rs	133	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/call_hierarchy/document.rs	48	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	test/dev	crates/vize_maestro/src/ide/call_hierarchy/tests.rs	217	s0	S0	stage	vize_s0	preferred	2
lsp	LSP	source	crates/vize_maestro/src/ide/code_action.rs	14	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	test/dev	crates/vize_maestro/src/ide/code_action.rs	658	croquis	Croquis analysis	old	vize_croquis	legacy	4
lsp	LSP	source	crates/vize_maestro/src/ide/code_action/script_bindings.rs	5	croquis	Croquis analysis	old	vize_croquis	legacy	3
lsp	LSP	test/dev	crates/vize_maestro/src/ide/code_action/source_position_tests.rs	51	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	test/dev	crates/vize_maestro/src/ide/completion/component_props_tests.rs	318	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/items.rs	14	old_ast	old AST/parser	old	vize_relief	legacy	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/resolve/visibility.rs	3	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/resolve/visibility.rs	3	raw_oxc	raw OXC	raw	oxc_allocator	raw	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/resolve/visibility.rs	3	raw_oxc	raw OXC	raw	oxc_parser	raw	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/resolve/visibility.rs	3	raw_oxc	raw OXC	raw	oxc_semantic	raw	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/script.rs	20	croquis	Croquis analysis	old	vize_croquis	legacy	5
lsp	LSP	test/dev	crates/vize_maestro/src/ide/completion/script.rs	33	old_ast	old AST/parser	old	vize_relief	legacy	1
lsp	LSP	test/dev	crates/vize_maestro/src/ide/completion/script.rs	33	croquis	Croquis analysis	old	vize_croquis	legacy	7
lsp	LSP	source	crates/vize_maestro/src/ide/completion/script/context.rs	10	croquis	Croquis analysis	old	vize_croquis	legacy	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/script/member_access.rs	12	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/script/member_access.rs	12	croquis	Croquis analysis	old	vize_croquis	legacy	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/script/object_literal.rs	6	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/script/object_literal.rs	6	croquis	Croquis analysis	old	vize_croquis	legacy	9
lsp	LSP	source	crates/vize_maestro/src/ide/completion/script/object_literal.rs	6	raw_oxc	raw OXC	raw	oxc_allocator	raw	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/script/object_literal.rs	6	raw_oxc	raw OXC	raw	oxc_ast	raw	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/script/object_literal.rs	6	raw_oxc	raw OXC	raw	oxc_parser	raw	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/script/object_literal/prior_receiver.rs	3	raw_oxc	raw OXC	raw	oxc_ast	raw	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/script/object_literal/prior_receiver.rs	3	raw_oxc	raw OXC	raw	oxc_ast_visit	raw	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/script/object_literal/prior_receiver.rs	3	raw_oxc	raw OXC	raw	oxc_syntax	raw	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/script/object_literal/receiver_value.rs	3	raw_oxc	raw OXC	raw	oxc_ast	raw	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/script/object_literal/receiver_value.rs	3	raw_oxc	raw OXC	raw	oxc_ast_visit	raw	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/script/reactive_infer.rs	10	croquis	Croquis analysis	old	vize_croquis	legacy	3
lsp	LSP	test/dev	crates/vize_maestro/src/ide/completion/script/tests.rs	2	croquis	Croquis analysis	old	vize_croquis	legacy	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/template/bindings.rs	10	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/template/bindings.rs	10	old_ast	old AST/parser	old	vize_relief	legacy	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/template/bindings.rs	10	old_ast	old AST/parser	old	vize_armature	legacy	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/template/bindings.rs	10	croquis	Croquis analysis	old	vize_croquis	legacy	4
lsp	LSP	source	crates/vize_maestro/src/ide/completion/template/component_cache.rs	91	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/template/component_meta.rs	5	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/template/component_meta.rs	5	old_ast	old AST/parser	old	vize_relief	legacy	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/template/component_meta.rs	5	raw_oxc	raw OXC	raw	oxc_allocator	raw	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/template/component_meta.rs	5	raw_oxc	raw OXC	raw	oxc_ast	raw	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/template/component_meta.rs	5	raw_oxc	raw OXC	raw	oxc_parser	raw	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/template/slot_outlets.rs	5	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/template/slot_outlets.rs	5	old_ast	old AST/parser	old	vize_relief	legacy	1
lsp	LSP	source	crates/vize_maestro/src/ide/completion/template/slot_outlets.rs	5	old_ast	old AST/parser	old	vize_armature	legacy	1
lsp	LSP	test/dev	crates/vize_maestro/src/ide/completion/tests.rs	8	s0	S0	stage	vize_s0	preferred	2
lsp	LSP	test/dev	crates/vize_maestro/src/ide/completion/tests.rs	8	old_ast	old AST/parser	old	vize_relief	legacy	1
lsp	LSP	source	crates/vize_maestro/src/ide/context.rs	152	s0	S0	stage	vize_s0	preferred	2
lsp	LSP	source	crates/vize_maestro/src/ide/context.rs	152	old_ast	old AST/parser	old	vize_relief	legacy	1
lsp	LSP	source	crates/vize_maestro/src/ide/context.rs	152	old_ast	old AST/parser	old	vize_armature	legacy	1
lsp	LSP	test/dev	crates/vize_maestro/src/ide/corsa_support.rs	58	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/corsa_support/canonical.rs	3	s0	S0	stage	vize_s0	preferred	5
lsp	LSP	source	crates/vize_maestro/src/ide/corsa_support/canonical/mapping.rs	4	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/corsa_support/canonical/open.rs	136	s0	S0	stage	vize_s0	preferred	3
lsp	LSP	source	crates/vize_maestro/src/ide/corsa_support/canonical/project.rs	5	s0	S0	stage	vize_s0	preferred	3
lsp	LSP	source	crates/vize_maestro/src/ide/corsa_support/canonical/semantic_links.rs	4	s0	S0	stage	vize_s0	preferred	3
lsp	LSP	source	crates/vize_maestro/src/ide/corsa_support/canonical/semantic_links/component_props.rs	5	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/corsa_support/external_mirror.rs	4	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	test/dev	crates/vize_maestro/src/ide/corsa_support/external_mirror.rs	101	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/corsa_support/html_attribute.rs	2	s0	S0	stage	vize_s0	preferred	10
lsp	LSP	source	crates/vize_maestro/src/ide/corsa_support/html_tag.rs	2	s0	S0	stage	vize_s0	preferred	6
lsp	LSP	source	crates/vize_maestro/src/ide/corsa_support/virtual_document.rs	4	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	test/dev	crates/vize_maestro/src/ide/corsa_support/workspace_edit.rs	159	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/declaration.rs	118	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	test/dev	crates/vize_maestro/src/ide/declaration/tests.rs	117	s0	S0	stage	vize_s0	preferred	2
lsp	LSP	source	crates/vize_maestro/src/ide/definition/art.rs	10	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	test/dev	crates/vize_maestro/src/ide/definition/corsa_tests.rs	32	s0	S0	stage	vize_s0	preferred	2
lsp	LSP	source	crates/vize_maestro/src/ide/definition/facts.rs	4	croquis	Croquis analysis	old	vize_croquis	legacy	2
lsp	LSP	source	crates/vize_maestro/src/ide/definition/helpers.rs	11	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/definition/import_resolver.rs	6	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/definition/module_specifier.rs	7	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/definition/script.rs	17	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/definition/script.rs	17	croquis	Croquis analysis	old	vize_croquis	legacy	1
lsp	LSP	source	crates/vize_maestro/src/ide/definition/slot.rs	2	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/definition/slot.rs	2	old_ast	old AST/parser	old	vize_armature	legacy	1
lsp	LSP	source	crates/vize_maestro/src/ide/definition/slot.rs	2	croquis	Croquis analysis	old	vize_croquis	legacy	2
lsp	LSP	source	crates/vize_maestro/src/ide/definition/template.rs	4	old_ast	old AST/parser	old	vize_relief	legacy	1
lsp	LSP	source	crates/vize_maestro/src/ide/definition/template.rs	4	croquis	Croquis analysis	old	vize_croquis	legacy	1
lsp	LSP	test/dev	crates/vize_maestro/src/ide/definition/tests/contexts.rs	4	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	test/dev	crates/vize_maestro/src/ide/diagnostics/assembly_parity_tests.rs	14	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/diagnostics/collectors.rs	12	s0	S0	stage	vize_s0	preferred	3
lsp	LSP	source	crates/vize_maestro/src/ide/diagnostics/collectors.rs	12	old_ast	old AST/parser	old	vize_armature	legacy	1
lsp	LSP	source	crates/vize_maestro/src/ide/diagnostics/collectors.rs	12	raw_oxc	raw OXC	raw	oxc_allocator	raw	1
lsp	LSP	source	crates/vize_maestro/src/ide/diagnostics/collectors.rs	12	raw_oxc	raw OXC	raw	oxc_parser	raw	1
lsp	LSP	source	crates/vize_maestro/src/ide/diagnostics/component_props.rs	8	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/diagnostics/component_props.rs	8	old_ast	old AST/parser	old	vize_armature	legacy	1
lsp	LSP	source	crates/vize_maestro/src/ide/diagnostics/component_props.rs	8	croquis	Croquis analysis	old	vize_croquis	legacy	3
lsp	LSP	source	crates/vize_maestro/src/ide/diagnostics/corsa/collect_virtual.rs	15	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/diagnostics/corsa/collect.rs	15	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	test/dev	crates/vize_maestro/src/ide/diagnostics/corsa/log_preview.rs	10	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	test/dev	crates/vize_maestro/src/ide/diagnostics/corsa/message.rs	79	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	test/dev	crates/vize_maestro/src/ide/diagnostics/corsa/relative_import_tests.rs	151	s0	S0	stage	vize_s0	preferred	4
lsp	LSP	test/dev	crates/vize_maestro/src/ide/diagnostics/corsa/tests.rs	1	s0	S0	stage	vize_s0	preferred	3
lsp	LSP	source	crates/vize_maestro/src/ide/diagnostics/corsa/virtual_ts_art_bindings.rs	5	s0	S0	stage	vize_s0	preferred	4
lsp	LSP	source	crates/vize_maestro/src/ide/diagnostics/corsa/virtual_ts_art_bindings.rs	5	croquis	Croquis analysis	old	vize_croquis	legacy	9
lsp	LSP	source	crates/vize_maestro/src/ide/diagnostics/corsa/virtual_ts_art.rs	10	s0	S0	stage	vize_s0	preferred	3
lsp	LSP	source	crates/vize_maestro/src/ide/diagnostics/corsa/virtual_ts_art.rs	10	old_ast	old AST/parser	old	vize_armature	legacy	1
lsp	LSP	source	crates/vize_maestro/src/ide/diagnostics/corsa/virtual_ts_art.rs	10	croquis	Croquis analysis	old	vize_croquis	legacy	1
lsp	LSP	source	crates/vize_maestro/src/ide/diagnostics/corsa/virtual_ts_inline_art.rs	13	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/diagnostics/corsa/virtual_ts_inline_art.rs	13	old_ast	old AST/parser	old	vize_armature	legacy	1
lsp	LSP	source	crates/vize_maestro/src/ide/diagnostics/corsa/virtual_ts_inline_art.rs	13	croquis	Croquis analysis	old	vize_croquis	legacy	2
lsp	LSP	source	crates/vize_maestro/src/ide/diagnostics/editor_typecheck_fixture.rs	212	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	test/dev	crates/vize_maestro/src/ide/diagnostics/editor_typecheck_tests.rs	10	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/diagnostics/line_index.rs	7	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	test/dev	crates/vize_maestro/src/ide/diagnostics/line_index.rs	9	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/diagnostics/linter_options.rs	6	s0	S0	stage	vize_s0	preferred	21
lsp	LSP	source	crates/vize_maestro/src/ide/diagnostics/vize_sfc_type.rs	5	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/document_link/imports.rs	3	raw_oxc	raw OXC	raw	oxc_allocator	raw	1
lsp	LSP	source	crates/vize_maestro/src/ide/document_link/imports.rs	3	raw_oxc	raw OXC	raw	oxc_ast	raw	1
lsp	LSP	source	crates/vize_maestro/src/ide/document_link/imports.rs	3	raw_oxc	raw OXC	raw	oxc_parser	raw	1
lsp	LSP	source	crates/vize_maestro/src/ide/ecosystem/i18n.rs	12	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	test/dev	crates/vize_maestro/src/ide/ecosystem/router_extension_tests.rs	2	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/ecosystem/router_project.rs	12	davinci	Davinci	stage	vize_davinci	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/ecosystem/router_project.rs	12	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/ecosystem/router_project.rs	12	croquis	Croquis analysis	old	vize_croquis_cf	legacy	2
lsp	LSP	source	crates/vize_maestro/src/ide/ecosystem/router.rs	8	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/ecosystem/router.rs	8	croquis	Croquis analysis	old	vize_croquis_cf	legacy	2
lsp	LSP	test/dev	crates/vize_maestro/src/ide/ecosystem/router.rs	551	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/ecosystem/void.rs	7	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/file_rename/manual/script.rs	5	raw_oxc	raw OXC	raw	oxc_allocator	raw	1
lsp	LSP	source	crates/vize_maestro/src/ide/file_rename/manual/script.rs	5	raw_oxc	raw OXC	raw	oxc_ast	raw	3
lsp	LSP	source	crates/vize_maestro/src/ide/file_rename/manual/script.rs	5	raw_oxc	raw OXC	raw	oxc_ast_visit	raw	1
lsp	LSP	source	crates/vize_maestro/src/ide/file_rename/manual/script.rs	5	raw_oxc	raw OXC	raw	oxc_parser	raw	1
lsp	LSP	test/dev	crates/vize_maestro/src/ide/hover.rs	158	old_ast	old AST/parser	old	vize_relief	legacy	1
lsp	LSP	source	crates/vize_maestro/src/ide/hover/component_import.rs	112	croquis	Croquis analysis	old	vize_croquis	legacy	4
lsp	LSP	source	crates/vize_maestro/src/ide/hover/component_tag.rs	2	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/hover/component_tag.rs	2	old_ast	old AST/parser	old	vize_armature	legacy	2
lsp	LSP	source	crates/vize_maestro/src/ide/hover/component_tag.rs	2	croquis	Croquis analysis	old	vize_croquis	legacy	3
lsp	LSP	source	crates/vize_maestro/src/ide/hover/component_tag/items.rs	1	croquis	Croquis analysis	old	vize_croquis	legacy	1
lsp	LSP	test/dev	crates/vize_maestro/src/ide/hover/component_tag/items.rs	75	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	test/dev	crates/vize_maestro/src/ide/hover/component_tag/items.rs	75	croquis	Croquis analysis	old	vize_croquis	legacy	2
lsp	LSP	test/dev	crates/vize_maestro/src/ide/hover/corsa_tests.rs	56	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/hover/declaration_keyword.rs	19	s0	S0	stage	vize_s0	preferred	1
lsp	LSP	source	crates/vize_maestro/src/ide/hover/declaration_keyword.rs	19	old_ast	old AST/parser	old	vize_armature	legacy	1
lsp	LSP	source	crates/vize_maestro/src/ide/hover/declaration_keyword.rs	19	croquis	Croquis analysis	old	vize_croquis	legacy	3
lsp	LSP	source	crates/vize_maestro/src/ide/hover/declaration_keyword.rs	19	raw_oxc	raw OXC	raw	oxc_allocator	raw	1
lsp	LSP	source	crates/vize_maestro/src/ide/hover/declaration_keyword.rs	19	raw_oxc	raw OXC	raw	oxc_ast	raw	1
lsp	LSP	source	crates/vize_maestro/src/ide/hover/declaration_keyword.rs	19	raw_oxc	raw OXC	raw	oxc_parser	raw	1
lsp	LSP	source	crates/vize_maestro/src/ide/hover/petite_vue.rs	2	s0	S0	stage	vize_s0	preferred	2
lsp	LSP	source	crates/vize_maestro/src/ide/hover/petite_vue.rs	2	old_ast	old AST/parser	old	vize_armature	legacy	1
lsp	LSP	source	crates/vize_maestro/src/ide/hover/petite_vue.rs	2	croquis	Croquis analysis	old	vize_croquis	legacy	1
lsp	LSP	source	crates/vize_maestro/src/ide/hover/script_type_infer.rs	4	old_ast	old AST/parser	old	vize_relief	legacy	1
lsp	LSP	test/dev	crates/vize_maestro/src/ide/hover/script_type_infer.rs	311	old_ast	old AST/parser	old	vize_relief	legacy	1
