consumer_id	consumer	class	file	first_line	surface_id	surface	surface_group	matched_name	name_kind	sites
typechecker	Typechecker	source	crates/vize/src/commands/check/dts_ast.rs	1	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/dts_ast.rs	1	raw_oxc	raw OXC	raw	oxc_allocator	raw	1
typechecker	Typechecker	source	crates/vize/src/commands/check/dts_ast.rs	1	raw_oxc	raw OXC	raw	oxc_ast	raw	2
typechecker	Typechecker	source	crates/vize/src/commands/check/dts_ast.rs	1	raw_oxc	raw OXC	raw	oxc_parser	raw	1
typechecker	Typechecker	source	crates/vize/src/commands/check/dts_import_aliases.rs	3	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/dts_import_aliases.rs	3	raw_oxc	raw OXC	raw	oxc_allocator	raw	1
typechecker	Typechecker	source	crates/vize/src/commands/check/dts_import_aliases.rs	3	raw_oxc	raw OXC	raw	oxc_ast	raw	1
typechecker	Typechecker	source	crates/vize/src/commands/check/dts_import_aliases.rs	3	raw_oxc	raw OXC	raw	oxc_parser	raw	1
typechecker	Typechecker	source	crates/vize/src/commands/check/dts_rewrite.rs	3	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/dts.rs	5	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/imports_aliases.rs	4	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/imports_cache.rs	9	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	test/dev	crates/vize/src/commands/check/imports_generated_tests.rs	3	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	test/dev	crates/vize/src/commands/check/imports_js_tests.rs	2	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	test/dev	crates/vize/src/commands/check/imports_magic_comments_tests.rs	2	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/imports_package_routes.rs	13	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	test/dev	crates/vize/src/commands/check/imports_package_routes.rs	90	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/imports_registration.rs	3	s0	S0	stage	vize_s0	preferred	2
typechecker	Typechecker	test/dev	crates/vize/src/commands/check/imports_registration.rs	192	s0	S0	stage	vize_s0	preferred	2
typechecker	Typechecker	source	crates/vize/src/commands/check/imports_resolution.rs	5	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/imports_specifiers.rs	3	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	test/dev	crates/vize/src/commands/check/imports_tests.rs	2	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	test/dev	crates/vize/src/commands/check/imports.rs	12	s0	S0	stage	vize_s0	preferred	2
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt.rs	6	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	test/dev	crates/vize/src/commands/check/nuxt.rs	178	s0	S0	stage	vize_s0	preferred	2
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/fallback.rs	12	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/fallback.rs	12	raw_oxc	raw OXC	raw	oxc_allocator	raw	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/fallback.rs	12	raw_oxc	raw OXC	raw	oxc_ast	raw	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/fallback.rs	12	raw_oxc	raw OXC	raw	oxc_parser	raw	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/fallback/fallback_values.rs	1	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	test/dev	crates/vize/src/commands/check/nuxt/generated_ast_tests.rs	5	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/generated_ast.rs	3	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/generated_ast.rs	3	raw_oxc	raw OXC	raw	oxc_allocator	raw	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/generated_ast.rs	3	raw_oxc	raw OXC	raw	oxc_ast	raw	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/generated_ast.rs	3	raw_oxc	raw OXC	raw	oxc_ast_visit	raw	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/generated_ast.rs	3	raw_oxc	raw OXC	raw	oxc_parser	raw	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/generated_dir.rs	10	s0	S0	stage	vize_s0	preferred	2
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/generated_values.rs	5	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/generated.rs	7	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	test/dev	crates/vize/src/commands/check/nuxt/legacy_template_globals_tests.rs	5	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/legacy_template_globals.rs	2	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/parsing.rs	5	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/parsing.rs	5	raw_oxc	raw OXC	raw	oxc_allocator	raw	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/parsing.rs	5	raw_oxc	raw OXC	raw	oxc_ast	raw	9
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/parsing.rs	5	raw_oxc	raw OXC	raw	oxc_parser	raw	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/plugins.rs	6	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/plugins/extract.rs	5	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/plugins/extract.rs	5	raw_oxc	raw OXC	raw	oxc_allocator	raw	3
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/plugins/extract.rs	5	raw_oxc	raw OXC	raw	oxc_ast	raw	3
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/plugins/extract.rs	5	raw_oxc	raw OXC	raw	oxc_parser	raw	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/plugins/extract/bindings.rs	3	raw_oxc	raw OXC	raw	oxc_ast	raw	2
typechecker	Typechecker	test/dev	crates/vize/src/commands/check/nuxt/plugins/tests.rs	7	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/source_scan.rs	6	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/source_scan.rs	6	raw_oxc	raw OXC	raw	oxc_allocator	raw	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/source_scan.rs	6	raw_oxc	raw OXC	raw	oxc_ast	raw	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/source_scan.rs	6	raw_oxc	raw OXC	raw	oxc_parser	raw	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/stubs.rs	5	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	test/dev	crates/vize/src/commands/check/nuxt/tests.rs	4	s0	S0	stage	vize_s0	preferred	2
typechecker	Typechecker	test/dev	crates/vize/src/commands/check/nuxt/tests.rs	4	raw_oxc	raw OXC	raw	oxc_allocator	raw	1
typechecker	Typechecker	test/dev	crates/vize/src/commands/check/nuxt/tests.rs	4	raw_oxc	raw OXC	raw	oxc_parser	raw	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/tsconfig_aliases.rs	9	s0	S0	stage	vize_s0	preferred	2
typechecker	Typechecker	test/dev	crates/vize/src/commands/check/nuxt/tsconfig_aliases.rs	73	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/virtual_modules.rs	6	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/virtual_modules.rs	6	raw_oxc	raw OXC	raw	oxc_allocator	raw	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/virtual_modules.rs	6	raw_oxc	raw OXC	raw	oxc_ast	raw	1
typechecker	Typechecker	source	crates/vize/src/commands/check/nuxt/virtual_modules.rs	6	raw_oxc	raw OXC	raw	oxc_parser	raw	1
typechecker	Typechecker	source	crates/vize/src/commands/check/path_cache.rs	5	s0	S0	stage	vize_s0	preferred	2
typechecker	Typechecker	test/dev	crates/vize/src/commands/check/path_cache.rs	47	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	test/dev	crates/vize/src/commands/check/runner.rs	145	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	test/dev	crates/vize/src/commands/check/runner/collect_tests.rs	12	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/runner/collect.rs	10	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	test/dev	crates/vize/src/commands/check/runner/collect.rs	273	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	test/dev	crates/vize/src/commands/check/runner/default_imports_explicit_ambient_tests.rs	4	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	test/dev	crates/vize/src/commands/check/runner/default_imports_tests.rs	4	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/runner/default_imports.rs	4	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/runner/diagnostics.rs	9	s0	S0	stage	vize_s0	preferred	3
typechecker	Typechecker	source	crates/vize/src/commands/check/runner/diagnostics/source_context.rs	3	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/runner/diagnostics/source_filter.rs	3	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/runner/diagnostics/suppressions.rs	148	s0	S0	stage	vize_s0	preferred	3
typechecker	Typechecker	source	crates/vize/src/commands/check/runner/execution.rs	9	s0	S0	stage	vize_s0	preferred	3
typechecker	Typechecker	source	crates/vize/src/commands/check/runner/global_components.rs	13	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/runner/global_components/specifier_rewrite.rs	3	s0	S0	stage	vize_s0	preferred	1
typechecker	Typechecker	source	crates/vize/src/commands/check/runner/global_components/workspace_declarations.rs	8	s0	S0	stage	vize_s0	preferred	2
typechecker	Typechecker	source	crates/vize/src/commands/check/runner/global_components/workspace_declarations.rs	8	old_ast	old AST/parser	old	vize_armature	legacy	1
typechecker	Typechecker	source	crates/vize/src/commands/check/runner/global_components/workspace_declarations.rs	8	croquis	Croquis analysis	old	vize_croquis	legacy	2
typechecker	Typechecker	source	crates/vize/src/commands/check/runner/ignores.rs	43	s0	S0	stage	vize_s0	preferred	2
