file	spelling
crates/vize_patina/src/markup/differential/battery.rs	@input.trim.lazy
crates/vize_patina/src/markup/differential/battery.rs	@click.prevent
crates/vize_patina/src/markup/differential/battery.rs	@keyup.enter
crates/vize_patina/src/markup/tests.rs	@click.stop.prevent
crates/vize_patina/src/rules/a11y/click_events_have_key_events.rs	@click.stop
crates/vize_patina/src/rules/opinionated/vue/scoped_event_names.rs	@contextmenu.prevent
crates/vize_patina/src/rules/opinionated/vue/use_v_on_exact.rs	@click.ctrl
crates/vize_patina/src/rules/opinionated/vue/use_v_on_exact.rs	@click.exact
crates/vize_patina/src/rules/opinionated/vue/use_v_on_exact.rs	@click.ctrl
crates/vize_patina/src/rules/opinionated/vue/use_v_on_exact.rs	@click.exact
crates/vize_patina/src/rules/opinionated/vue/use_v_on_exact.rs	@click.ctrl
crates/vize_patina/src/rules/opinionated/vue/use_v_on_exact.rs	@click.ctrl
crates/vize_patina/src/rules/opinionated/vue/use_v_on_exact.rs	@click.ctrl
crates/vize_patina/src/rules/opinionated/vue/use_v_on_exact.rs	@keydown.ctrl
crates/vize_patina/src/rules/opinionated/vue/use_v_on_exact.rs	@click.ctrl
crates/vize_patina/src/rules/opinionated/vue/use_v_on_exact.rs	@click.shift
crates/vize_patina/src/rules/opinionated/vue/v_on_handler_style.rs	@submit.prevent
crates/vize_patina/src/rules/vue/attribute_order.rs	@keydown.meta.s.prevent
crates/vize_patina/src/rules/vue/no_deprecated_v_on_native_modifier.rs	@click.native
crates/vize_patina/src/rules/vue/no_deprecated_v_on_native_modifier.rs	v-on:click.native
crates/vize_patina/src/rules/vue/no_deprecated_v_on_native_modifier.rs	@click.native.stop
crates/vize_patina/src/rules/vue/no_deprecated_v_on_native_modifier.rs	@click.stop
crates/vize_patina/src/rules/vue/no_deprecated_v_on_native_modifier.rs	@click.native
crates/vize_patina/src/rules/vue/no_deprecated_v_on_native_modifier.rs	v-on:click.native
crates/vize_patina/src/rules/vue/no_deprecated_v_on_native_modifier.rs	@click.native.stop
crates/vize_patina/src/rules/vue/no_deprecated_v_on_native_modifier.rs	@keyup.enter
crates/vize_patina/src/rules/vue/no_deprecated_v_on_native_modifier.rs	@click.nativeish
crates/vize_patina/src/rules/vue/no_deprecated_v_on_native_modifier.rs	@click.native
crates/vize_patina/src/rules/vue/no_deprecated_v_on_number_modifiers.rs	@keyup.13
crates/vize_patina/src/rules/vue/no_deprecated_v_on_number_modifiers.rs	v-on:keyup.27
crates/vize_patina/src/rules/vue/no_deprecated_v_on_number_modifiers.rs	@keyup.13.stop
crates/vize_patina/src/rules/vue/no_deprecated_v_on_number_modifiers.rs	@keyup.enter
crates/vize_patina/src/rules/vue/no_deprecated_v_on_number_modifiers.rs	@keyup.esc
crates/vize_patina/src/rules/vue/no_deprecated_v_on_number_modifiers.rs	@keyup.13
crates/vize_patina/src/rules/vue/no_deprecated_v_on_number_modifiers.rs	v-on:keyup.27
crates/vize_patina/src/rules/vue/no_deprecated_v_on_number_modifiers.rs	@keyup.13.stop
crates/vize_patina/src/rules/vue/no_deprecated_v_on_number_modifiers.rs	@keyup.13.27
crates/vize_patina/src/rules/vue/no_deprecated_v_on_number_modifiers.rs	@keyup.enter
crates/vize_patina/src/rules/vue/no_deprecated_v_on_number_modifiers.rs	@keyup.esc
crates/vize_patina/src/rules/vue/no_deprecated_v_on_number_modifiers.rs	@keyup.f2
crates/vize_patina/src/rules/vue/no_deprecated_v_on_number_modifiers.rs	@keyup.13
crates/vize_patina/src/rules/vue/no_duplicate_attributes.rs	@keydown.left
crates/vize_patina/src/rules/vue/no_duplicate_attributes.rs	@keydown.right
crates/vize_patina/src/rules/vue/no_duplicate_attributes.rs	@click.stop
crates/vize_patina/src/rules/vue/no_duplicate_attributes.rs	@click.prevent
crates/vize_patina/src/rules/vue/no_duplicate_attributes.rs	@click.stop.prevent
crates/vize_patina/src/rules/vue/no_duplicate_attributes.rs	@click.stop
crates/vize_patina/src/rules/vue/no_duplicate_attributes.rs	@click.stop
crates/vize_patina/src/rules/vue/v_on_style.rs	v-on:click.stop.prevent
crates/vize_patina/src/rules/vue/v_on_style.rs	@click.stop.prevent
crates/vize_patina/src/rules/vue/valid_v_on.rs	@submit.prevent
